t_ms,lon,lat,alt
268000,153.808,-43.458,488.84
268400,153.801,-43.483,488.847
268800,153.793,-43.509,488.855
269200,153.785,-43.534,488.862
269600,153.777,-43.559,488.869
270000,153.769,-43.584,488.876
270400,153.761,-43.609,488.883
270800,153.754,-43.634,488.89
271200,153.746,-43.659,488.897
271600,153.738,-43.684,488.904
272000,153.73,-43.709,488.911
272400,153.722,-43.734,488.918
272800,153.714,-43.759,488.925
273200,153.706,-43.784,488.932
273600,153.698,-43.809,488.939
274000,153.69,-43.835,488.946
274400,153.683,-43.86,488.953
274800,153.675,-43.885,488.96
275200,153.667,-43.91,488.967
275600,153.659,-43.935,488.974
276000,153.651,-43.96,488.981
276400,153.643,-43.985,488.988
276800,153.635,-44.01,488.995
277200,153.627,-44.035,489.002
277600,153.619,-44.06,489.009
278000,153.611,-44.085,489.016
278400,153.603,-44.11,489.023
278800,153.595,-44.135,489.03
279200,153.587,-44.16,489.037
279600,153.579,-44.185,489.044
280000,153.571,-44.21,489.051
280400,153.563,-44.236,489.058
280800,153.555,-44.261,489.065
281200,153.547,-44.286,489.072
281600,153.539,-44.311,489.079
282000,153.531,-44.336,489.086
282400,153.523,-44.361,489.093
282800,153.515,-44.386,489.1
283200,153.507,-44.411,489.107
283600,153.499,-44.436,489.114
284000,153.491,-44.461,489.121
284400,153.483,-44.486,489.128
284800,153.475,-44.511,489.135
285200,153.467,-44.536,489.142
285600,153.459,-44.561,489.149
286000,153.451,-44.586,489.156
286400,153.443,-44.611,489.163
286800,153.435,-44.636,489.17
287200,153.427,-44.662,489.177
287600,153.419,-44.687,489.184
288000,153.41,-44.712,489.19
288400,153.402,-44.737,489.197
288800,153.394,-44.762,489.204
289200,153.386,-44.787,489.211
289600,153.378,-44.812,489.218
290000,153.37,-44.837,489.225
290400,153.362,-44.862,489.232
290800,153.354,-44.887,489.239
291200,153.346,-44.912,489.246
291600,153.337,-44.937,489.253
292000,153.329,-44.962,489.26
292400,153.321,-44.987,489.267
292800,153.313,-45.012,489.274
293200,153.305,-45.037,489.281
293600,153.297,-45.062,489.288
294000,153.288,-45.087,489.295
294400,153.28,-45.112,489.302
294800,153.272,-45.137,489.309
295200,153.264,-45.163,489.316
295600,153.256,-45.188,489.323
296000,153.247,-45.213,489.33
296400,153.239,-45.238,489.337
296800,153.231,-45.263,489.344
297200,153.223,-45.288,489.351
297600,153.215,-45.313,489.358
298000,153.206,-45.338,489.365
298400,153.198,-45.363,489.371
298800,153.19,-45.388,489.378
299200,153.182,-45.413,489.385
299600,153.173,-45.438,489.392
300000,153.165,-45.463,489.399
300400,153.157,-45.488,489.406
300800,153.149,-45.513,489.413
301200,153.14,-45.538,489.42
301600,153.132,-45.563,489.427
302000,153.124,-45.588,489.434
302400,153.115,-45.613,489.441
302800,153.107,-45.638,489.448
303200,153.099,-45.663,489.455
303600,153.09,-45.688,489.462
304000,153.082,-45.713,489.469
304400,153.074,-45.738,489.475
304800,153.065,-45.763,489.482
305200,153.057,-45.788,489.489
305600,153.049,-45.813,489.496
306000,153.04,-45.839,489.503
306400,153.032,-45.864,489.51
306800,153.024,-45.889,489.517
307200,153.015,-45.914,489.524
307600,153.007,-45.939,489.531
308000,152.999,-45.964,489.538
308400,152.99,-45.989,489.545
308800,152.982,-46.014,489.552
309200,152.973,-46.039,489.558
309600,152.965,-46.064,489.565
310000,152.957,-46.089,489.572
310400,152.948,-46.114,489.579
310800,152.94,-46.139,489.586
311200,152.931,-46.164,489.593
311600,152.923,-46.189,489.6
312000,152.914,-46.214,489.607
312400,152.906,-46.239,489.614
312800,152.898,-46.264,489.621
313200,152.889,-46.289,489.627
313600,152.881,-46.314,489.634
314000,152.872,-46.339,489.641
314400,152.864,-46.364,489.648
314800,152.855,-46.389,489.655
315200,152.847,-46.414,489.662
315600,152.838,-46.439,489.669
316000,152.83,-46.464,489.676
316400,152.821,-46.489,489.683
316800,152.813,-46.514,489.689
317200,152.804,-46.539,489.696
317600,152.796,-46.564,489.703
318000,152.787,-46.589,489.71
318400,152.779,-46.614,489.717
318800,152.77,-46.639,489.724
319200,152.761,-46.664,489.731
319600,152.753,-46.689,489.738
320000,152.744,-46.714,489.744
320400,152.736,-46.739,489.751
320800,152.727,-46.764,489.758
321200,152.719,-46.789,489.765
321600,152.71,-46.814,489.772
322000,152.701,-46.839,489.779
322400,152.693,-46.864,489.786
322800,152.684,-46.889,489.792
323200,152.676,-46.914,489.799
323600,152.667,-46.939,489.806
324000,152.658,-46.964,489.813
324400,152.65,-46.989,489.82
324800,152.641,-47.014,489.827
325200,152.632,-47.039,489.834
325600,152.624,-47.064,489.84
326000,152.615,-47.089,489.847
326400,152.606,-47.114,489.854
326800,152.598,-47.139,489.861
327200,152.589,-47.164,489.868
327600,152.58,-47.189,489.875
328000,152.572,-47.214,489.881
328400,152.563,-47.239,489.888
328800,152.554,-47.264,489.895
329200,152.545,-47.289,489.902
329600,152.537,-47.314,489.909
330000,152.528,-47.339,489.916
330400,152.519,-47.364,489.922
330800,152.511,-47.389,489.929
331200,152.502,-47.414,489.936
331600,152.493,-47.439,489.943
332000,152.484,-47.464,489.95
332400,152.475,-47.489,489.957
332800,152.467,-47.514,489.963
333200,152.458,-47.539,489.97
333600,152.449,-47.564,489.977
334000,152.44,-47.589,489.984
334400,152.432,-47.614,489.991
334800,152.423,-47.639,489.997
335200,152.414,-47.664,490.004
335600,152.405,-47.689,490.011
336000,152.396,-47.714,490.018
336400,152.387,-47.739,490.025
336800,152.379,-47.764,490.031
337200,152.37,-47.789,490.038
337600,152.361,-47.814,490.045
338000,152.352,-47.839,490.052
338400,152.343,-47.864,490.059
338800,152.334,-47.889,490.065
339200,152.325,-47.914,490.072
339600,152.316,-47.939,490.079
340000,152.308,-47.964,490.086
340400,152.299,-47.989,490.093
340800,152.29,-48.014,490.099
341200,152.281,-48.039,490.106
341600,152.272,-48.064,490.113
342000,152.263,-48.089,490.12
342400,152.254,-48.114,490.126
342800,152.245,-48.139,490.133
343200,152.236,-48.164,490.14
343600,152.227,-48.189,490.147
344000,152.218,-48.214,490.153
344400,152.209,-48.239,490.16
344800,152.2,-48.264,490.167
345200,152.191,-48.289,490.174
345600,152.182,-48.314,490.18
346000,152.173,-48.339,490.187
346400,152.164,-48.364,490.194
346800,152.155,-48.389,490.201
347200,152.146,-48.414,490.207
347600,152.137,-48.439,490.214
348000,152.128,-48.464,490.221
348400,152.119,-48.489,490.228
